Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
J14,TIMER BOARD,CONN-SIL10,,TOP,180,1014.57,102.362
J1,ECE298_RS_BENCH_POWER,SIL-100-02R,,TOP,180,583.858,1850.39
J6,MG90S Servo,SIL-100-03,,TOP,0,1229.72,1103.46
J9,DC MOTOR,SIL-100-02,,TOP,270,460.63,1120.87
J11,RGB LED,CONN-SIL4,,TOP,180,1708.46,1223.31
J10,UART PERIPHERAL,SIL-100-03,,TOP,0,2137.8,925.197
J8,HCSR04,CONN-SIL4,,TOP,90,2287.4,245.276
J2,TIMER BOARD POWER,SIL-100-02,,TOP,0,1646.85,307.087
J12,RPM SENSOR,CONN-SIL4,,TOP,90,1944.88,244.488
J13,ECE298_RS_BENCH_POWER,SIL-100-02R,,TOP,180,2158.66,1850.39
RV4,10K,TRIM_3361P,Digikey 3361P-103GLFDKR-ND,TOP,0,1342.52,686.024
U2,ECE298_RS_CMOS4050,SO16,,BOT,90,2110.24,653.543
U5,ECE298_RS_74HCT541,SO20W,,BOT,270,1357.28,705.827
R1,80,RESC1005X40,Digikey 311-150JDKR-ND,BOT,90,1559.06,1114.17
R2,150,RESC1005X40,Digikey 311-180JCT-ND,BOT,90,1657.48,1118.11
R3,80,RESC1005X40,Digikey 311-150JDKR-ND,BOT,90,1858.27,1114.17
U4,ECE298_RS_74HCT541,SO20W,,TOP,-90,791.339,519.685
U3,ECE298_RS_L9110,SO8,,TOP,0,846.457,1122.05
C1,10000pF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,180,848.425,1094.49
C9,10000pF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,180,848.425,1165.35
C2,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,-90,389.764,1513.78
C5,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,-90,464.567,1513.78
C6,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,90,393.701,1057.09
C7,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,0,2163.39,1751.97
C3,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,0,588.583,1751.97
R7,1000,RESC1005X40,Digikey 311-150JDKR-ND,BOT,0,1129.92,358.268
C8,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,TOP,180,1344.49,448.819
C10,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,90,2366.14,242.126
C11,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,270,1838.58,139.764
J15,ECE298_TERMINAL_VIA,PIN,,TOP,0,2102.36,346.457
J17,ECE298_TERMINAL_VIA,PIN,,TOP,0,2102.36,169.291
J18,ECE298_TERMINAL_VIA,PIN,,TOP,0,2153.54,1200.79
J16,ECE298_TERMINAL_VIA,PIN,,TOP,0,444.882,818.898
C12,100uF,CAPC1005X55,Digikey PCC103BQDKR-ND,BOT,0,1179.13,1177.17
